,time_horizon,change_tolerance,forward_term,break_away_point,alpha,trend_reversal_factor,val_mean_absolute_error
-1,1hr,0.5,5,1,0.5,0.3,0.174275204539299
0,1hr,0.5,5,1,0.5,0.6,0.17872215807437897
1,1hr,0.5,5,2,0.5,0.3,0.17340882122516632
2,1hr,0.5,5,2,0.5,0.6,0.18020513653755188
3,1hr,0.5,8,1,0.5,0.3,0.18490812182426453
4,1hr,0.5,8,1,0.5,0.6,0.1736513078212738
5,1hr,0.5,8,2,0.5,0.3,0.16644373536109924
6,1hr,0.5,8,2,0.5,0.6,0.18398015201091766
7,1hr,1.0,5,1,0.5,0.3,0.21853797137737274
8,1hr,1.0,5,1,0.5,0.6,0.19734488427639008
9,1hr,1.0,5,2,0.5,0.3,0.21666394174098969
10,1hr,1.0,5,2,0.5,0.6,0.19680260121822357
11,1hr,1.0,8,1,0.5,0.3,0.22351773083209991
12,1hr,1.0,8,1,0.5,0.6,0.21857167780399323
13,1hr,1.0,8,2,0.5,0.3,0.2185972034931183
14,1hr,1.0,8,2,0.5,0.6,0.2178778052330017
15,12hr,0.5,5,1,0.5,0.3,0.14726369082927704
16,12hr,0.5,5,1,0.5,0.6,0.1883206069469452
17,12hr,0.5,5,2,0.5,0.3,0.15515442192554474
18,12hr,0.5,5,2,0.5,0.6,0.18816158175468445
19,12hr,0.5,8,1,0.5,0.3,0.18391425907611847
20,12hr,0.5,8,1,0.5,0.6,0.19454310834407806
21,12hr,0.5,8,2,0.5,0.3,0.1993759125471115
22,12hr,0.5,8,2,0.5,0.6,0.21825700998306274
23,12hr,1.0,5,1,0.5,0.3,0.17462046444416046
24,12hr,1.0,5,1,0.5,0.6,0.16544702649116516
25,12hr,1.0,5,2,0.5,0.3,0.3813425898551941
26,12hr,1.0,5,2,0.5,0.6,0.1653139293193817
27,12hr,1.0,8,1,0.5,0.3,0.2051941454410553
28,12hr,1.0,8,1,0.5,0.6,0.22570191323757172
29,12hr,1.0,8,2,0.5,0.3,0.20711441338062286
30,12hr,1.0,8,2,0.5,0.6,0.22908124327659607
